id,x,y,fx,fy,is_interior
1,-0.04394054283763202,-11.508046260964688,0.0,0.0,False
2,-4.30418805117994,-7.478054455660955,0.0,0.0,True
3,-2.2305763901942934,-7.574039367494508,0.0,0.0,True
4,-1.9084748765403,-7.950146275825295,0.0,0.0,True
5,-2.5260502203250756,-5.406171816165113,0.0,0.0,True
6,-6.765171856200944,5.976706703046837,0.0,0.0,True
7,-6.515719274191961,6.6607687505254125,0.0,0.0,True
8,10.142909598118791,4.893971416674375,0.0,0.0,False
9,5.107050286778904,6.312389833475005,0.0,0.0,True
10,-8.055057269694318,-6.7042438493088605,0.0,0.0,True
11,-8.31090262444643,-6.613842816439372,0.0,0.0,True
12,-10.136122010578104,2.309982124553494,0.0,0.0,False
14,-9.714616314463393,4.246082127895811,0.0,0.0,True
16,8.71399191979375,-5.75680770981453,0.0,0.0,False
18,6.338898428593003,-7.581178095156461,0.0,0.0,True
19,6.962652332477457,-7.03221709759514,0.0,0.0,False
20,5.630889052586465,-8.034889620179717,0.0,0.0,True
21,5.098442863376252,-8.12011735576455,0.0,0.0,True
22,5.971915204474827,-7.495695223607508,0.0,0.0,True
23,5.361314790810213,-7.294105692364149,0.0,0.0,True
24,5.714203084592373,-7.620070638269035,0.0,0.0,True
25,1.2639861094128466,-11.163545778641886,0.0,0.0,False
28,-0.706444366983934,-10.776646652836197,0.0,0.0,True
29,-0.08416656304489951,-10.760890062057074,0.0,0.0,True
30,-3.2995053569194828,-9.01381769874531,0.0,0.0,True
32,-6.7090058910649955,-4.900865232577107,0.0,0.0,True
33,-6.376598559157329,-4.523753839531446,0.0,0.0,True
34,-5.701963830206977,-7.033772475835745,0.0,0.0,True
35,-6.5641479085523216,-8.108800587445453,0.0,0.0,False
36,-7.298465702377399,-6.926611534113288,0.0,0.0,False
37,-8.23391949687574,-7.361821101616182,0.0,0.0,True
40,-4.297155784917205,-7.329500457714085,0.0,0.0,True
41,-5.229547710372481,-7.235250478791702,0.0,0.0,True
42,-5.21835933734691,-7.626187370015048,0.0,0.0,True
43,-4.733267648237076,-7.988411289012384,0.0,0.0,True
44,-3.569118641302871,-7.774538792917225,0.0,0.0,True
45,-3.5368553757962293,-8.590336650039854,0.0,0.0,True
46,-5.9146456675577355,-9.820397956414933,0.0,0.0,False
47,-3.473435291665382,3.137671279760869,0.0,0.0,True
48,-5.365449804437459,-6.321848765784975,0.0,0.0,True
49,-5.778146464367633,-6.579715958474531,0.0,0.0,False
51,-5.474024728269654,-5.85402974359741,0.0,0.0,True
52,-2.6476623225775637,-7.645347291203626,0.0,0.0,True
53,-2.8518757452889387,-8.127601616682114,0.0,0.0,True
54,-3.3058503556265415,-8.162738334600299,0.0,0.0,True
56,-2.8812795181118216,-8.99948477973389,0.0,0.0,True
57,-2.62472324451787,-8.452089895557434,0.0,0.0,True
58,-1.1690944027770687,-9.562459935681318,0.0,0.0,True
59,-1.1874787577192027,-10.154340772122195,0.0,0.0,True
60,-0.4451266462967608,-10.035520963345672,0.0,0.0,True
61,-0.8448303332933187,-10.323515655424139,0.0,0.0,True
62,-1.151077597168276,-8.570992647396073,0.0,0.0,True
63,4.689685908905031,-6.796775691313583,0.0,0.0,True
64,4.40677853944087,-6.771683986939676,0.0,0.0,True
65,4.969954364116829,-7.352474727847063,0.0,0.0,True
66,4.811775715767326,-7.681257060637314,0.0,0.0,True
67,2.017489058257246,-0.5368325352090559,0.0,0.0,True
68,1.7259028163346515,-2.957159313165107,0.0,0.0,True
69,0.9898059759986028,-4.189323226810416,0.0,0.0,True
70,1.5335399994438175,-3.299011563032428,0.0,0.0,True
72,-1.3709513408877751,-7.293312993983189,0.0,0.0,True
73,-1.5081702237382424,-7.853896291333501,0.0,0.0,True
74,-0.7337991826353868,-7.982842769850101,0.0,0.0,True
75,-1.1203617367377496,-8.17406810972928,0.0,0.0,True
76,0.48539412823960854,-5.7895293721668635,0.0,0.0,True
77,0.29496059201957403,-5.997654819559468,0.0,0.0,True
78,-0.38452321411113255,-5.764361861347385,0.0,0.0,True
79,-0.20856919417158082,-5.968656410035474,0.0,0.0,True
80,-0.9795252420645028,-7.176272439222438,0.0,0.0,True
82,-0.8421813019146446,-6.6379447814878585,0.0,0.0,True
83,-0.4128045016748898,-6.531313706272292,0.0,0.0,True
84,-1.7047933658490357,-6.956671506636827,0.0,0.0,True
85,-2.0585802952897914,-7.041944184269485,0.0,0.0,True
86,-6.446231251968405,7.191484031864139,0.0,0.0,True
87,-1.1255962941604436,11.303581342258207,0.0,0.0,False
90,-2.4612422377494325,3.3196846963354396,0.0,0.0,True
91,-5.067317408924472,6.266250707991398,0.0,0.0,True
92,-6.335496205069913,8.727366756964592,0.0,0.0,False
94,-5.735207299592869,7.663666759252432,0.0,0.0,True
95,-5.85329712938885,7.8893733123223555,0.0,0.0,True
96,-5.983330336067283,7.259608263650416,0.0,0.0,True
97,-5.692142968520175,6.817589267338264,0.0,0.0,True
