id,x,y,fx,fy,is_interior
1,0.07469078605858794,-11.510785656302362,0.0,0.0,False
2,-4.2501072710830075,-7.461366988964754,0.0,0.0,True
3,-2.2074469463994117,-7.5829921790795,0.0,0.0,True
4,-1.879144904703562,-7.95951031094568,0.0,0.0,True
5,-2.52834163245279,-5.406951301743691,0.0,0.0,True
6,-6.778452779897492,5.971120500809095,0.0,0.0,True
7,-6.532753628764086,6.659188786081653,0.0,0.0,True
8,10.173945466817695,4.836396788121028,0.0,0.0,False
9,5.107798413888415,6.278831528354919,0.0,0.0,True
10,-8.128716564252366,-6.675590747638207,0.0,0.0,True
11,-8.383023570826564,-6.579976795477438,0.0,0.0,True
12,-10.147502690109091,2.2791371235019513,0.0,0.0,False
14,-9.72699574390351,4.222869083431606,0.0,0.0,True
16,8.723890980718197,-5.843813349683717,0.0,0.0,False
18,6.308737770825361,-7.6352145846211315,0.0,0.0,True
19,6.947785335274172,-7.083573109852011,0.0,0.0,False
20,5.584298395403867,-8.079900029479182,0.0,0.0,True
21,5.048569103887695,-8.145046169997618,0.0,0.0,True
22,5.941802742360338,-7.541324237095501,0.0,0.0,True
23,5.339858076424634,-7.322828854092882,0.0,0.0,True
24,5.68351210154798,-7.658108835108602,0.0,0.0,True
25,1.474086626255044,-11.099256306587426,0.0,0.0,False
28,-0.6137982596032343,-10.785078991965218,0.0,0.0,True
29,0.025939589893236907,-10.750419350580772,0.0,0.0,True
30,-3.2627659577796844,-9.043466094738768,0.0,0.0,True
32,-6.733311794686323,-4.915983134843784,0.0,0.0,True
33,-6.392502792591789,-4.545349908084428,0.0,0.0,True
34,-5.700610940435733,-7.1204058484556505,0.0,0.0,True
35,-6.506448456969167,-8.297339787760654,0.0,0.0,False
36,-7.294752411209511,-7.181637434952016,0.0,0.0,False
37,-8.321184191175831,-7.329536377029536,0.0,0.0,True
40,-4.248518664247354,-7.32205828090037,0.0,0.0,True
41,-5.2280651390568895,-7.275508011358568,0.0,0.0,True
42,-5.184513790264749,-7.592030603530135,0.0,0.0,True
43,-4.645508355485493,-7.949682625618577,0.0,0.0,True
44,-3.5221627507198443,-7.771360761382815,0.0,0.0,True
45,-3.4943864998502323,-8.620156846772927,0.0,0.0,True
46,-6.323410465795585,-8.926869616021547,0.0,0.0,False
47,-3.478857551988148,3.142730521493622,0.0,0.0,True
48,-5.394948785880842,-6.36679775592885,0.0,0.0,True
49,-5.824950716903202,-6.6535851581553445,0.0,0.0,False
51,-5.510178682239173,-5.900208282153808,0.0,0.0,True
52,-2.6101390751498608,-7.65440195079697,0.0,0.0,True
53,-2.8162754642543684,-8.14482647113832,0.0,0.0,True
54,-3.2489154116645054,-8.177324298663901,0.0,0.0,True
56,-2.845328167657552,-9.029462978608771,0.0,0.0,True
57,-2.586162964843897,-8.472263435626504,0.0,0.0,True
58,-1.1150029277929547,-9.576906042678827,0.0,0.0,True
59,-1.1223692722053271,-10.167829330209836,0.0,0.0,True
60,-0.3749807679980917,-10.038499815514252,0.0,0.0,True
61,-0.7636236653451254,-10.335310333313746,0.0,0.0,True
62,-1.1231587010457356,-8.581536670487852,0.0,0.0,True
63,4.6841453855328,-6.80321646878412,0.0,0.0,True
64,4.407250904554242,-6.772099228861348,0.0,0.0,True
65,4.952265674743627,-7.3699040761227455,0.0,0.0,True
66,4.780571814791702,-7.700485017799397,0.0,0.0,True
67,2.007665028110707,-0.5356136676027649,0.0,0.0,True
68,1.7227186547909377,-2.947705358182338,0.0,0.0,True
69,0.9890157478235192,-4.1695998004754395,0.0,0.0,True
70,1.5321454083302415,-3.2860621488642687,0.0,0.0,True
72,-1.3566401726715411,-7.2906053286109636,0.0,0.0,True
73,-1.4895551608845508,-7.861290173868849,0.0,0.0,True
74,-0.7200261583201398,-7.980223875694622,0.0,0.0,True
75,-1.0985999967839428,-8.17523737604877,0.0,0.0,True
76,0.48086909866481264,-5.759823020999436,0.0,0.0,True
77,0.28690495964163076,-5.974229037900067,0.0,0.0,True
78,-0.3874715873128909,-5.749304855942773,0.0,0.0,True
79,-0.21343706325826017,-5.948856897504109,0.0,0.0,True
80,-0.972847760509262,-7.171193488525481,0.0,0.0,True
82,-0.8397019399153578,-6.625829491917595,0.0,0.0,True
83,-0.41402689850863905,-6.515870129286847,0.0,0.0,True
