id,x,y,num_sides,area,perimeter,mother,A_0,P_0,contractility,active
0,-0.15144845779789146,3.526344996766811,6,0.5877821214921057,2.8750892781300834,0,1.0,0.0,0.04,1
1,0.1871720172957116,4.352165616678954,6,0.5910077910668217,2.879007446876942,1,1.0,0.0,0.04,1
2,4.862239263291037,3.726483829338498,7,0.6482047732827878,3.079909715708028,2,1.0,0.0,0.04,1
3,5.124890938217896,4.482011089932968,6,0.586369128708581,2.854023143143385,3,1.0,0.0,0.04,1
4,1.7708068592800092,3.1873956085279134,5,0.40320014040287244,2.446034874488162,4,1.0,0.0,0.04,1
5,0.5317046753156074,3.719534362495508,5,0.4694664581651635,2.63194260445856,5,1.0,0.0,0.04,1
6,1.4638028971239638,2.637352455658237,6,0.5732582405279667,2.891691078488251,6,1.0,0.0,0.04,1
7,1.0976846123785147,4.3514145494972265,7,0.6411128406893207,2.988873277340765,7,1.0,0.0,0.04,1
8,3.9397721431614245,3.8951028410326924,7,0.5437884934253123,2.790191183513866,8,1.0,0.0,0.04,1
9,4.2693830410854545,4.515099679245823,6,0.6094377483894142,2.94867649651436,9,1.0,0.0,0.04,1
10,3.0863153742992115,3.9489478566938265,4,0.13282942057548652,1.4907063239781368,10,1.0,0.0,0.04,1
11,0.24052641144408113,0.6568726831057782,6,0.5804097890614721,2.836801744506905,11,1.0,0.0,0.04,1
12,0.09547970777851261,2.1820793919322106,6,0.5817308276835518,2.8401903652020817,12,1.0,0.0,0.04,1
13,0.5254098240977398,2.8924633437364085,7,0.6344472543451173,2.939982988755618,13,1.0,0.0,0.04,1
15,1.075602325465508,0.7725716699216099,7,0.6160969000207509,2.90943259128807,15,1.0,0.0,0.04,1
16,0.45841405379634775,1.4393831645990962,6,0.5763666603991859,2.846821503985067,16,1.0,0.0,0.04,1
17,2.005754207409549,0.7950246534745399,6,0.5974095113322103,2.939038725388706,17,1.0,0.0,0.04,1
18,0.920929689059064,2.1614766794593714,6,0.5632253266002839,2.8495058225883816,18,1.0,0.0,0.04,1
19,2.153921488968818,4.454131110603072,7,0.6540214033700869,3.0406370525429276,19,1.0,0.0,0.04,1
20,3.234455582140224,4.508253938393133,8,0.6690078746012604,3.10048445457733,20,1.0,0.0,0.04,1
21,4.911112083596154,1.7452247581445604,6,0.5890046111548815,2.932615018929038,21,1.0,0.0,0.04,1
22,5.355865010911869,2.6821800648999194,7,0.6481378812542333,3.0602061826742286,22,1.0,0.0,0.04,1
23,4.295521955907241,3.3316882313621368,5,0.3671370649118826,2.3272344011763573,23,1.0,0.0,0.04,1
24,1.9139840547838265,1.9406724514645965,7,0.7045992469804172,3.1452470829470403,24,1.0,0.0,0.04,1
25,2.4189670934955316,2.7713574733495783,8,0.7274331867045447,3.1478514784660616,25,1.0,0.0,0.04,1
26,3.7010873387622896,3.1559916315767333,5,0.37134325653811473,2.348543513720802,26,1.0,0.0,0.04,1
27,3.5531640435956455,1.2665922346936187,6,0.5394374609373129,2.7916266091031807,27,1.0,0.0,0.04,1
28,3.9244428815087353,1.8987537241583348,7,0.6374449645894953,2.9938327568073455,28,1.0,0.0,0.04,1
29,2.898245277345287,0.6667326474838804,7,0.6197052090514061,2.9191684225333687,29,1.0,0.0,0.04,1
30,2.4337814662710193,1.376208650727232,5,0.4413893356607077,2.580609127577201,30,1.0,0.0,0.04,1
31,2.885191469658754,1.9907924368516698,7,0.6439522614346238,3.0460139988626715,31,1.0,0.0,0.04,1
32,4.58444110207352,0.37599703531324197,6,0.5788000666140382,2.8322008557881353,32,1.0,0.0,0.04,1
33,5.1409847195218665,0.9903188399696091,6,0.5846137372052957,2.8479836323769323,33,1.0,0.0,0.04,1
34,4.327805283476758,1.1452786384463474,6,0.5874623891310626,2.8548572379721713,34,1.0,0.0,0.04,1
35,3.7678526026761494,0.5066744781741166,6,0.5860474078287341,2.85332152376549,35,1.0,0.0,0.04,1
36,4.640893855182444,2.3039800064238545,5,0.4276720352915806,2.5317532409490355,23,1.0,0.0,0.04,1
37,4.749320529679912,2.9599306010750377,5,0.3952662394350286,2.422812160560915,23,1.0,0.0,0.04,1
38,2.65754724163382,3.8248144712250554,6,0.45254351213107435,2.6592075299318916,10,1.0,0.0,0.04,1
39,3.1307374769831746,3.343801536410124,7,0.5137889198893162,2.718993040681358,10,1.0,0.0,0.04,1
40,1.1567543344095674,1.5541756608505544,5,0.41824011090041036,2.506431505342219,14,1.0,0.0,0.04,1
41,3.2643656003872032,2.564100614357051,6,0.5637481281360488,2.8334333883795075,26,1.0,0.0,0.04,1
42,3.413467931159829,3.9458206689243887,4,0.14918078722778283,1.5826641590535477,10,1.0,0.0,0.04,1
43,2.981514944709774,1.3331513448261307,4,0.2789984272417487,2.1237272612449063,30,1.0,0.0,0.04,1
44,1.5972729018277598,1.2551665023867993,4,0.29799621246298613,2.2098969362474863,14,1.0,0.0,0.04,1
45,1.1072549945935393,3.413525947820799,6,0.5106314204401912,2.71126640673093,5,1.0,0.0,0.04,1
46,2.1725209401870313,3.6269598635467712,5,0.38472302625523547,2.448287291757306,4,1.0,0.0,0.04,1
47,1.615891037806405,3.900716672486048,5,0.4060360122052389,2.4494955969802876,4,1.0,0.0,0.04,1
48,4.053174132394826,2.6199793402904614,6,0.4669599874288384,2.563451082513026,26,1.0,0.0,0.04,1
