id,x,y,fx,fy,is_interior
0,-11.109323797966221,0.09514315192458848,0.0,0.0,False
1,0.06459243107735102,-10.994585389159782,0.0,0.0,False
2,-4.064023913887295,-6.947622370008602,0.0,0.0,True
3,-2.1404768044482156,-7.336996111861197,0.0,0.0,True
4,-1.8105605664059472,-7.620778167193256,0.0,0.0,True
5,-2.789469713788073,-5.569563586262274,0.0,0.0,True
6,-6.958387184276142,5.860954876997584,0.0,0.0,True
7,-6.487930714723143,6.551822475161838,0.0,0.0,True
8,10.288554986757811,4.72717830510689,0.0,0.0,False
9,4.81499468009321,6.197668165703617,0.0,0.0,True
10,-8.701852198679148,-6.226000414567655,0.0,0.0,True
11,-8.717686766266104,-6.807054120773731,0.0,0.0,False
12,-10.032442576600356,3.393724881220074,0.0,0.0,False
14,-9.531335230545702,3.833398418497392,0.0,0.0,True
15,6.889858379845876,-7.116615600836178,0.0,0.0,True
16,8.692716084587882,-6.5729279731348385,0.0,0.0,False
18,6.69122128877976,-7.9443899561048665,0.0,0.0,True
19,7.030273633963986,-7.719655298516488,0.0,0.0,True
20,5.721405746087704,-7.966799144520976,0.0,0.0,True
21,5.210950164575937,-8.006940113485475,0.0,0.0,True
22,6.225508044548447,-7.4822844200188605,0.0,0.0,True
23,5.643553645002274,-7.227966084666098,0.0,0.0,True
24,5.902409071244736,-7.530352823368018,0.0,0.0,True
25,1.2715807590008668,-10.511577495823753,0.0,0.0,False
28,-0.4563274520183651,-10.193142755038345,0.0,0.0,True
29,0.11028770932366157,-10.339124379810672,0.0,0.0,True
30,-3.0661392786677437,-8.860224269880646,0.0,0.0,True
32,-6.810794728448694,-4.853864771058009,0.0,0.0,True
33,-6.390552019163359,-4.459309856630142,0.0,0.0,True
34,-5.843507348104635,-7.226328245538122,0.0,0.0,True
35,-7.085768725651685,-8.70168154572103,0.0,0.0,False
36,-7.698742231986222,-8.18368113538639,0.0,0.0,False
37,-8.107397756130096,-7.3983007126373455,0.0,0.0,False
40,-4.464270531922159,-7.175161438254791,0.0,0.0,True
41,-5.312950485822523,-7.258672164542554,0.0,0.0,True
42,-5.1744501014980715,-7.569142092653531,0.0,0.0,True
43,-4.630353968519974,-7.742097495694814,0.0,0.0,True
44,-3.650804385359113,-7.5680274321110526,0.0,0.0,True
45,-3.375448984208198,-8.361358303014912,0.0,0.0,True
46,-5.68103030982664,-9.705042739284202,0.0,0.0,False
47,-3.3567858528403236,3.174247522369579,0.0,0.0,True
48,-5.832091074713191,-6.482723541561122,0.0,0.0,True
49,-6.648086833393125,-6.811833075649943,0.0,0.0,True
50,-6.056979474500266,-6.784084721853797,0.0,0.0,True
51,-5.941749895771205,-5.9955505261451645,0.0,0.0,True
52,-2.6162853594027755,-7.4579874684198115,0.0,0.0,True
53,-2.7537834874615417,-7.8635474310219164,0.0,0.0,True
54,-3.2430544722473247,-7.966695945331466,0.0,0.0,True
56,-2.629674502561682,-8.620627446735284,0.0,0.0,True
57,-2.5043381028528175,-8.160014357834788,0.0,0.0,True
58,-0.9331578247404048,-9.078443580284299,0.0,0.0,True
59,-0.8988636399492564,-9.691650855554357,0.0,0.0,True
60,-0.19125314545241945,-9.499069943510554,0.0,0.0,True
61,-0.5699485187887142,-9.826212990097646,0.0,0.0,True
62,-1.0011094542590446,-8.110505646999167,0.0,0.0,True
63,4.939883652907726,-6.789362286643415,0.0,0.0,True
64,4.54603243548043,-6.702790414685623,0.0,0.0,True
65,5.147305151522733,-7.277937321172293,0.0,0.0,True
66,4.961104490702832,-7.58313856177414,0.0,0.0,True
67,1.8214003080972028,-0.68366879570073,0.0,0.0,True
68,1.897592414276083,-2.665815407091834,0.0,0.0,True
69,1.419874927287965,-3.807541403522941,0.0,0.0,True
70,1.4621810373909652,-3.173903511507044,0.0,0.0,True
72,-1.2996092347394985,-6.9438169551612345,0.0,0.0,True
73,-1.388984032827763,-7.4465190653832725,0.0,0.0,True
74,-0.579686412264549,-7.384398441504331,0.0,0.0,True
75,-1.0220977612087911,-7.682256935484975,0.0,0.0,True
76,0.3285690042528459,-5.095173752169692,0.0,0.0,True
77,0.15988809838820467,-5.673078102107883,0.0,0.0,True
78,-0.4724574452003918,-5.391888987792197,0.0,0.0,True
79,-0.3344161575871333,-5.537524940216001,0.0,0.0,True
80,-0.698772458600315,-6.8238142529780585,0.0,0.0,True
82,-0.7990118388783666,-6.261224330975969,0.0,0.0,True
83,-0.44839612432260495,-6.048869328066763,0.0,0.0,True
84,-1.5857158033844276,-6.680678256872512,0.0,0.0,True
85,-2.0249836172603386,-6.822908638199076,0.0,0.0,True
86,-6.3897413797995295,6.803550444213841,0.0,0.0,True
87,-1.015414386269947,11.20535883796068,0.0,0.0,False
90,-2.5031620005400983,3.3254868582596586,0.0,0.0,True
91,-5.0984284332033685,6.112931704614201,0.0,0.0,True
92,-6.834460223439786,8.088369254935943,0.0,0.0,False
94,-5.610679455664665,7.493595545097435,0.0,0.0,True
95,-5.98094267831265,7.262129653071214,0.0,0.0,True
96,-5.980283459645232,6.914937296880235,0.0,0.0,True
97,-5.653351164468788,6.693261815598466,0.0,0.0,True
98,-6.182705127164428,8.321702258129413,0.0,0.0,True
99,-5.635334388002529,7.749003371538474,0.0,0.0,True
100,-6.078560581621677,7.922139481714587,0.0,0.0,True
