id,x,y,num_sides,area,perimeter,mother,A_0,P_0,contractility,active
0,-2.979042581608764,-8.483002400559752,6,0.5611543038031659,2.8000963014571987,0,1.0,0.0,0.04,1
1,5.744684902085187,-8.00819978814324,6,0.5518746161804486,2.7754665904807565,1,1.0,0.0,0.04,1
2,-0.9020586623208766,-7.527953513764849,6,0.5691979787006467,2.814093552324322,2,1.0,0.0,0.04,1
3,-1.651649753718125,-7.404764345585488,6,0.5765157554287361,2.835273319346874,3,1.0,0.0,0.04,1
4,-5.16984290224528,9.104956025628743,6,0.5509291115224357,2.789489978025557,4,1.0,0.0,0.04,1
5,-5.795858281185986,8.870518912249889,5,0.4541501081028336,2.581295002380768,5,1.0,0.0,0.04,1
6,-6.536426205794704,7.042935926889151,6,0.5643379735855056,2.7969400871756354,6,1.0,0.0,0.04,1
7,-8.988600070301974,-6.805557940703081,6,0.5713693090448864,2.8149128281033735,7,1.0,0.0,0.04,1
8,-8.476432231396855,-7.43702134547104,6,0.573478902458433,2.819796737539655,8,1.0,0.0,0.04,1
9,8.402642064206335,-7.37540293272932,6,0.5418443075989074,2.761234903027438,9,1.0,0.0,0.04,1
10,8.990219704710572,-7.008988925471923,5,0.5011170215665857,2.7124525705807487,10,1.0,0.0,0.04,1
11,9.450688893444475,-4.341329093653813,6,0.5536057402486989,2.774911772611221,11,1.0,0.0,0.04,1
12,9.900487368204253,-5.010918078845288,6,0.5598128289369448,2.786926246656136,12,1.0,0.0,0.04,1
13,6.5611334149966325,-8.23922856022619,6,0.5527145489058896,2.770684025410375,13,1.0,0.0,0.04,1
14,6.778749808537417,-9.022461278374386,6,0.5636721433550349,2.7965161386359023,14,1.0,0.0,0.04,1
15,6.2526303612856315,-5.4827441232274285,6,0.5472581624338098,2.755876915622864,15,1.0,0.0,0.04,1
16,-1.1079336858419389,-10.54901950400017,7,0.6538790574562405,2.9715462774192067,16,1.0,0.0,0.04,1
17,-0.5433334263847265,-11.213990195228922,6,0.5385311938664938,2.753132833755955,17,1.0,0.0,0.04,1
18,-7.881986102797795,-7.98736786721846,6,0.5685243404101961,2.808564346689971,18,1.0,0.0,0.04,1
19,-3.7247874968902157,-7.366040529290699,6,0.5688753758922473,2.818945756296534,19,1.0,0.0,0.04,1
20,-3.017015787430335,-7.707850915028763,6,0.5713011472995593,2.817064432976129,20,1.0,0.0,0.04,1
21,-4.972022358883929,-6.712982089367191,5,0.45236585423312725,2.573097492322619,21,1.0,0.0,0.04,1
22,-5.651286289657014,-6.998378740187896,6,0.538862679363838,2.7386773635927524,22,1.0,0.0,0.04,1
23,-5.023642138215969,-7.477651872524484,6,0.5436900397654334,2.7479308433714027,23,1.0,0.0,0.04,1
24,-4.35884786725861,-6.986790364495557,6,0.5549082051018637,2.808738018313771,24,1.0,0.0,0.04,1
25,-4.378033164931646,-7.878256809613275,6,0.5778386852689295,2.8424065688682707,25,1.0,0.0,0.04,1
26,-3.7092445740246776,-8.214791992361427,6,0.5826894573171995,2.8517763920387327,26,1.0,0.0,0.04,1
27,-4.1507643202695395,1.9709067266039886,6,0.5830106253481264,2.853374386869945,27,1.0,0.0,0.04,1
28,-1.9178694913687293,-10.317505960858348,6,0.56559126204598,2.8022401324279973,28,1.0,0.0,0.04,1
29,-1.67123125306745,-8.938174262719416,5,0.49344566366212295,2.7207643200247755,29,1.0,0.0,0.04,1
30,-1.3873666551067356,-9.722703374091902,6,0.5654398412590913,2.8090681275457516,30,1.0,0.0,0.04,1
31,-2.1445926676934906,-9.548255867807603,6,0.5386867740679548,2.733397498263739,31,1.0,0.0,0.04,1
32,-2.3132238476913805,-8.77174242468353,5,0.48882042386807445,2.700573180545436,32,1.0,0.0,0.04,1
33,-1.4173339785301153,-8.210097800824697,6,0.6092056900023599,2.926212536430585,33,1.0,0.0,0.04,1
34,-2.227371692374974,-8.02196969753775,6,0.6094956733672552,2.9294988909706614,34,1.0,0.0,0.04,1
35,3.5525067631123513,-6.622278162459851,6,0.6006266308827826,2.8930841209869995,35,1.0,0.0,0.04,1
36,3.5469437496211693,-5.79054348386435,6,0.5857677539939736,2.860183590128202,36,1.0,0.0,0.04,1
37,1.2338629605508429,-2.9777509675490057,5,0.4959404439733257,2.6953401620317834,37,1.0,0.0,0.04,1
38,1.9749625590492594,-3.358795195515214,7,0.6564768139425503,2.9866052870217557,38,1.0,0.0,0.04,1
39,0.0538015287751851,-6.258935118234324,5,0.4745388098741965,2.6409868159687604,39,1.0,0.0,0.04,1
40,0.6927754175598175,-6.055493317313735,6,0.5804998073007973,2.873616808736104,40,1.0,0.0,0.04,1
41,-0.3735095080399325,-6.874033059545101,6,0.5544347981997945,2.7796423411264923,41,1.0,0.0,0.04,1
42,-1.3855550927328202,-5.918153185245129,6,0.5697985038922542,2.8138262908757774,42,1.0,0.0,0.04,1
43,-0.6208654975826989,-6.088872371880535,6,0.5471326645625916,2.771423420012715,43,1.0,0.0,0.04,1
44,-1.1343793223869445,-6.7344814793758045,6,0.5616971475713632,2.7973109196086194,44,1.0,0.0,0.04,1
45,-2.5081487238293656,-6.451050982778114,5,0.4567154161907858,2.586647851402451,45,1.0,0.0,0.04,1
46,-1.847400328671444,-6.558559630737551,6,0.554039132276559,2.8014216410020367,46,1.0,0.0,0.04,1
47,-2.3823987303789926,-7.214941599526831,6,0.5552209072988044,2.779063474468868,47,1.0,0.0,0.04,1
48,-3.107755002089483,-6.887112584327683,6,0.5501910545284314,2.7685861078207314,48,1.0,0.0,0.04,1
49,-7.136924127709109,6.487450749656709,6,0.5671227295143488,2.8037662361708002,49,1.0,0.0,0.04,1
50,-6.210476847555026,8.341459133833231,6,0.5512300138421935,2.7877145796702645,50,1.0,0.0,0.04,1
51,-6.495011429378687,9.160722391735279,6,0.5584739813833757,2.7895112567840314,51,1.0,0.0,0.04,1
52,-6.7444902555160615,7.809076572428979,6,0.5577310292745601,2.7828369867847758,52,1.0,0.0,0.04,1
53,-7.000634200543419,8.592601978836344,6,0.5504812360281157,2.766805374472067,53,1.0,0.0,0.04,1
54,-0.5700069799874125,11.163004719600755,6,0.557292236805618,2.782338317887534,54,1.0,0.0,0.04,1
55,-5.762608124387183,6.82162060795576,6,0.5655154513220708,2.799456015534874,55,1.0,0.0,0.04,1
56,-5.931750102860111,7.607371019754682,6,0.5783981489336085,2.8338707874536078,56,1.0,0.0,0.04,1
57,-5.851826951032059,9.630765242913219,6,0.5599357993216323,2.792036580034835,57,1.0,0.0,0.04,1
58,-5.152559908204037,9.944049454705027,6,0.5560577690497475,2.779421661780778,58,1.0,0.0,0.04,1
59,-3.8623957494091266,8.964915782604429,6,0.5543324784146808,2.7743852593520764,59,1.0,0.0,0.04,1
60,-4.5060446529833476,9.444912493427191,6,0.5580230403504203,2.7863619317125825,60,1.0,0.0,0.04,1
61,-0.8786194003378063,2.1934826726718826,5,0.532156656974403,2.785906913755453,61,1.0,0.0,0.04,1
62,-1.2839330772888633,0.9819592525941411,5,0.5503068304808931,2.829562652692271,62,1.0,0.0,0.04,1
63,-1.5511730313600416,1.7438205723433298,7,0.684901372789713,3.0613112230879116,63,1.0,0.0,0.04,1
64,-4.428433289984048,-0.9354944608939278,6,0.6026426853530858,2.906809480741703,64,1.0,0.0,0.04,1
65,-2.061437018931303,0.9937885634204511,6,0.6346694583955526,2.97907042766626,65,1.0,0.0,0.04,1
66,9.152056807665712,6.410454693517253,6,0.5540635654542996,2.7737264750888273,66,1.0,0.0,0.04,1
67,7.3740412051148185,3.760401497241955,6,0.536041970154816,2.7306773378111453,67,1.0,0.0,0.04,1
68,8.183689088862346,3.7000026723498265,6,0.5617356928318404,2.7921268394444,68,1.0,0.0,0.04,1
69,6.18281336245643,7.7831200831698615,6,0.5252665373567496,2.7087968920203807,69,1.0,0.0,0.04,1
70,6.370243219395733,6.388982981565153,6,0.5804214777201437,2.84557830320849,70,1.0,0.0,0.04,1
71,6.65920197516748,7.219566755894227,6,0.5467830680542889,2.7703522241455545,71,1.0,0.0,0.04,1
72,5.900532389976566,6.966522804613137,6,0.5387576274658947,2.747642997246282,72,1.0,0.0,0.04,1
73,3.5891235475491343,10.435899217357754,6,0.5469956706242218,2.75699012228493,73,1.0,0.0,0.04,1
74,3.80129469779199,9.653915217461499,6,0.5594527740505253,2.7872782702389984,74,1.0,0.0,0.04,1
75,0.19859775873317054,11.098686763982611,7,0.5603214740922982,2.7663188389103306,75,1.0,0.0,0.04,1
76,-9.430450704297332,-6.142560997040076,6,0.5662636591758385,2.801868209523062,76,1.0,0.0,0.04,1
77,-6.216419487041807,-6.470518421147172,6,0.5713953986475211,2.8189000374138904,77,1.0,0.0,0.04,1
78,-6.5351921995209095,-5.142973365044107,6,0.5831848872935073,2.8491870561858175,78,1.0,0.0,0.04,1
79,-7.465427219087591,-6.507142762611885,5,0.4400181778050509,2.544721030497104,79,1.0,0.0,0.04,1
80,-7.683466968944968,-7.224443325532246,6,0.5362501725693853,2.734755946661826,80,1.0,0.0,0.04,1
81,-8.20555757322886,-6.668593232681938,6,0.5370829844451244,2.735490783472793,81,1.0,0.0,0.04,1
82,-6.860238594273472,-5.95374540308835,7,0.6495726013508083,2.966344106034058,82,1.0,0.0,0.04,1
83,-6.909939337666206,-6.853702187985703,6,0.5415045352506915,2.7691830909665875,83,1.0,0.0,0.04,1
84,-8.2028510523723,-5.3532339519995675,6,0.548143224394483,2.7670021984680484,84,1.0,0.0,0.04,1
85,-8.620194813275695,-6.054974574924849,6,0.5527735836115539,2.774336476677225,85,1.0,0.0,0.04,1
86,-7.774977065096186,-5.93502728233849,6,0.5402922930611673,2.7695909879505494,86,1.0,0.0,0.04,1
87,-7.341309731658072,-5.279761076406179,6,0.5707767169428379,2.8165030694187663,87,1.0,0.0,0.04,1
88,-7.804600418170977,-4.657467101727678,6,0.5425710470430865,2.757532309090905,88,1.0,0.0,0.04,1
89,-9.90410564244721,5.486313840134339,6,0.5579491260437806,2.7856646488549823,89,1.0,0.0,0.04,1
90,-10.330395102304907,4.8070128545764,6,0.5745763876815033,2.8240353143561503,90,1.0,0.0,0.04,1
91,-5.597308733200021,6.033893646089548,6,0.5491003840788977,2.758799319150379,91,1.0,0.0,0.04,1
92,-6.356071699930795,6.265933838163525,6,0.5606158626353803,2.7875009278771574,92,1.0,0.0,0.04,1
93,-9.001001008626025,1.0393344029242229,6,0.5416193727613305,2.7480840671794,93,1.0,0.0,0.04,1
94,-5.110868032150197,-1.4012362557746736,6,0.5869931224624083,2.8850010713676726,94,1.0,0.0,0.04,1
95,8.676541834577671,-5.72783907385746,6,0.5739941668738666,2.823780029004702,95,1.0,0.0,0.04,1
96,8.29544026730303,-6.498480564421023,7,0.6585331645279311,2.9808107812297377,96,1.0,0.0,0.04,1
97,9.160462586433422,-6.3378436320042715,6,0.5407998988704712,2.7584247243346596,97,1.0,0.0,0.04,1
98,9.507921355304397,-5.675496928638958,6,0.5482968513122373,2.760370816703805,98,1.0,0.0,0.04,1
99,9.071327425030441,-5.015209438659092,6,0.5592180891558236,2.7851478444540465,99,1.0,0.0,0.04,1
100,7.678922597895688,-7.092059644561348,6,0.5734313754423361,2.8222920392620816,100,1.0,0.0,0.04,1
101,7.121354454965944,-7.682142818571447,6,0.5557846986542785,2.775776417790436,101,1.0,0.0,0.04,1
102,7.426904811363582,-6.340649217639336,6,0.5801493314698654,2.8427896463794986,102,1.0,0.0,0.04,1
103,10.289190487846508,-4.326778810589429,6,0.5676940754699871,2.8061804562267723,103,1.0,0.0,0.04,1
104,11.031488297106478,-2.0605033806665523,6,0.5617130367665215,2.7913596196648798,104,1.0,0.0,0.04,1
105,7.873111805077609,-7.907858772170562,6,0.5507300504343142,2.7662756083786246,105,1.0,0.0,0.04,1
106,7.339256985606095,-8.47401146243658,6,0.560468776230703,2.7878775026722726,106,1.0,0.0,0.04,1
107,7.068859328551979,-5.606968214085572,6,0.5607702594647854,2.7906186428086825,107,1.0,0.0,0.04,1
108,8.278209697289814,-5.011933962441242,6,0.562906258383812,2.7947553844225186,108,1.0,0.0,0.04,1
109,7.887264421713888,-5.719932109375066,6,0.5804550018008818,2.8418100391251424,109,1.0,0.0,0.04,1
110,0.19741241444112853,-11.180164676593526,6,0.5478550415798087,2.7607836215850736,110,1.0,0.0,0.04,1
111,0.9727219693781359,-11.184354937995359,6,0.5644615676317764,2.7996452532212586,111,1.0,0.0,0.04,1
112,-0.27080614387949686,-10.477228930064891,6,0.5719340501975589,2.8181045918677383,112,1.0,0.0,0.04,1
113,-5.446420015232477,-9.875303245417822,6,0.5531217828536157,2.7745549177047155,113,1.0,0.0,0.04,1
114,-2.532759939065452,-10.873965835990601,6,0.5475143889509848,2.7578156791521122,114,1.0,0.0,0.04,1
115,-2.887797525519437,-9.297241179921572,6,0.5461601772999138,2.7532234092181453,115,1.0,0.0,0.04,1
116,-3.26924492600109,-10.662600069106782,6,0.5517619642538794,2.7677199917860458,116,1.0,0.0,0.04,1
117,-2.6980212318655212,-10.09570324538276,6,0.5506008292530495,2.7629973964700043,117,1.0,0.0,0.04,1
118,-1.8148560090175392,-11.08621018513854,6,0.5412706071278581,2.7599595710387224,118,1.0,0.0,0.04,1
