id,x,y,num_sides,area,perimeter,mother,A_0,P_0,contractility,active
0,0.7077554940872444,2.8520774718337147,5,0.5632060571319429,2.8786430168662047,0,1.0,0.0,0.04,1
1,0.6767110811952864,3.7119137840620295,6,0.5936535936420176,2.8770134751099965,1,1.0,0.0,0.04,1
2,4.482845354192019,3.554841197930191,6,0.5804965257744321,2.8364460888205203,2,1.0,0.0,0.04,1
3,4.86477752872458,4.273993541215236,6,0.5763521570774532,2.825998358999356,3,1.0,0.0,0.04,1
4,2.062637568108486,3.491224901139095,6,0.5552272319708136,2.7759004789513355,4,1.0,0.0,0.04,1
5,1.2948773376681137,3.292644610189414,5,0.5081264315243881,2.7548722953186617,5,1.0,0.0,0.04,1
6,1.7555387096102362,2.7879169361668383,5,0.48547011929075934,2.700230091764825,6,1.0,0.0,0.04,1
7,1.490622383377315,4.066375122264913,6,0.5968283643441306,2.885792059892198,7,1.0,0.0,0.04,1
8,3.6716458363838886,3.5512062399668562,6,0.5776299762445758,2.8300799333246305,8,1.0,0.0,0.04,1
9,4.046733948041423,4.2605308610252015,6,0.5798977071644611,2.835035554952956,9,1.0,0.0,0.04,1
10,2.864212373348757,3.5430586785783116,6,0.5722985763810144,2.8179792437772644,10,1.0,0.0,0.04,1
11,0.2925313996581633,1.0887389382771255,6,0.5798970326774687,2.8352729987720275,11,1.0,0.0,0.04,1
12,0.718228939321266,2.580001989941307,5,0.5694776160844415,2.899307492048043,12,1.0,0.0,0.04,1
14,1.6228492371430017,1.4941809406115163,6,0.5655734936800371,2.8029673806591893,14,1.0,0.0,0.04,1
15,1.1035127922409038,0.9102470774202768,6,0.5874936622787221,2.8562556121603446,15,1.0,0.0,0.04,1
16,0.8022041339991518,1.7095162392345058,6,0.5924379482506433,2.8762652525000476,16,1.0,0.0,0.04,1
17,1.9521984031609478,0.7616822198440361,6,0.5915656981430504,2.866085026259425,17,1.0,0.0,0.04,1
18,1.3476116253458774,2.231891003969188,5,0.49989482808041774,2.732689138310403,18,1.0,0.0,0.04,1
19,2.3596769727844227,4.215641482520254,6,0.5955718334015137,2.8779563163010202,19,1.0,0.0,0.04,1
20,3.2144987276764287,4.253603320858823,6,0.5870536522121457,2.8538312026708983,20,1.0,0.0,0.04,1
21,4.505794247913789,2.1148250389217598,6,0.5825092148143307,2.841631193608063,21,1.0,0.0,0.04,1
22,4.9039913931619745,2.8407127243161487,6,0.5799685072312615,2.835101906890717,22,1.0,0.0,0.04,1
23,4.100107867395755,2.834263656186028,6,0.5773439179675162,2.829184728386948,23,1.0,0.0,0.04,1
24,2.120626285568856,2.1200725885123037,6,0.5427165426329357,2.7436247002446428,24,1.0,0.0,0.04,1
25,2.5270357650623057,2.8191065265014843,6,0.5495669877487477,2.7612561709398684,25,1.0,0.0,0.04,1
26,3.3057645228835733,2.8305934773818473,6,0.5690773068208617,2.80974198864571,26,1.0,0.0,0.04,1
27,3.2681336270671295,1.3954470843970044,6,0.5763987958436538,2.8271917475267188,27,1.0,0.0,0.04,1
28,3.7017006433838295,2.111319068001702,6,0.5746073003456669,2.822592727086242,28,1.0,0.0,0.04,1
29,2.8064584903985232,0.7019316397057779,6,0.588248139634278,2.856853826792888,29,1.0,0.0,0.04,1
30,2.4507087380644497,1.4115310828408658,6,0.5714625604955876,2.8156799066626044,30,1.0,0.0,0.04,1
31,2.9079687959116987,2.107432352769133,6,0.5639207419484054,2.79675323820636,31,1.0,0.0,0.04,1
32,4.467882355035227,0.6874103189808128,6,0.5775398309638855,2.828979266786321,32,1.0,0.0,0.04,1
33,4.892594981170086,1.391642922778121,6,0.5780926185597854,2.8303191535590178,33,1.0,0.0,0.04,1
34,4.081299028110152,1.397715622309476,6,0.5784811654326298,2.831711716845723,34,1.0,0.0,0.04,1
35,3.6448994953554514,0.6903666186311995,6,0.5820456309981619,2.8405266114195866,35,1.0,0.0,0.04,1
